year,biome,country_of_production,product_type,forest_500_soy,zero_deforestation_paraguay_soy,department,district_of_export,exporter,exporter_group,country_of_destination,economic_bloc,volume,fob,land_use,soy_deforestation_5_year_total_exposure,department_trase_id,country_of_production_trase_id,country_of_destination_trase_id
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""CIUDAD DEL ESTE"",""COOPERATIVA COLONIAS UNIDAS"",""COOPERATIVA COLONIAS UNIDAS"",""BRAZIL"",""BRAZIL"",""22984"",""10004840"",""7712.751677852349"",""54.0124"",""PY-10"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN OIL"",""3"",""NONE"",""CAAZAPA"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""INDIA"",""INDIA"",""22933.21"",""18406376.710132305"",""8493.781481481481"",""221.3054765"",""PY-06"",""PY"",""IN"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ITAPUA"",""ENCARNACION"",""COOPERATIVA COLONIAS UNIDAS"",""COOPERATIVA COLONIAS UNIDAS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""22569.85"",""10560953.370490434"",""8089.547368247353"",""28.2123125"",""PY-07"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ITAPUA"",""CAPITAN MEZA"",""COOPERATIVA COLONIAS UNIDAS"",""COOPERATIVA COLONIAS UNIDAS"",""UNITED STATES"",""UNITED STATES"",""22310"",""11641020.9"",""7996.41122052643"",""27.8875"",""PY-07"",""PY"",""US"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ALTO PARANA"",""MBARACAYU"",""LAR SRL"",""LAR"",""BRAZIL"",""BRAZIL"",""22000"",""9415500"",""7382.5503355704695"",""51.7"",""PY-10"",""PY"",""BR"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN OIL"",""3"",""NONE"",""CAAGUAZU"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""INDIA"",""INDIA"",""21578.05"",""17318719.23909762"",""7597.919975864842"",""190.9657425"",""PY-05"",""PY"",""IN"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""CANINDEYU"",""SAN ANTONIO"",""AGRICOLA ENTRE RIOS"",""AGRICOLA ENTRE RIOS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""21478.99"",""10273518.112649696"",""7231.979510458273"",""150.35293000000001"",""PY-14"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",,""UNKNOWN"",""ITAPUA"",""ENCARNACION"",""COOPERATIVA COLONIAS UNIDAS"",""COOPERATIVA COLONIAS UNIDAS"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""21318.13"",""9975245.092775008"",""7640.90246224299"",""26.647662500000003"",""PY-07"",""PY"",""RU"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEAN CAKE"",""3"",""NONE"",""SAN PEDRO"",""VILLETA"",""ADM PARAGUAY"",""ADM"",""ALGERIA"",""ALGERIA"",""20798.48"",""8842831.909996904"",""8253.385013344283"",""1081.5209599999998"",""PY-02"",""PY"",""DZ"""
"2014,""MATA ATLANTICA"",""PARAGUAY"",""SOYBEANS"",""3"",""NONE"",""ALTO PARANA"",""ASUNCION"",""AMAGGI SOCIEDAD DE RESPONSABILIDAD LIMITADA"",""AMAGGI"",""RUSSIAN FEDERATION"",""RUSSIAN FEDERATION"",""20729.42"",""10791242.06096594"",""6956.181208053691"",""48.714137"",""PY-10"",""PY"",""RU"""
